data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,45925083,150124468,1,2021-06-02,2,N,23H,27,24,M,10,20,R,,,24,
2021,45925084,150124472,1,2021-01-29,3,N,23C,39,36,M,10,20,R,,,36,
2021,45925085,150124495,1,2021-10-07,3,N,35A,44,41,F,10,20,R,,,41,
2021,46157293,150953113,1,2021-03-25,3,N,90Z,38,35,M,10,20,R,,,35,
2021,45925086,150124515,1,2021-08-06,2,N,90Z,38,35,F,10,20,R,,,35,
2021,45925087,150124524,1,2021-03-03,1,N,26F,36,33,M,10,20,R,,,33,
2021,45925088,150124524,2,2021-03-03,1,N,26F,39,36,M,10,20,R,,,36,
2021,45925089,150124524,3,2021-03-03,1,N,26F,33,30,F,10,20,R,,,30,
2021,45925090,150124524,4,2021-03-03,1,N,26F,34,31,F,10,20,R,,,31,
2021,45806003,149757648,1,2021-03-03,3,N,13A,45,42,M,10,20,R,,,42,
2021,45925091,150124534,1,2021-08-20,3,N,23G,29,26,M,10,20,R,,,26,
2021,45806004,149757649,1,2021-08-16,2,N,90Z,40,37,M,10,20,R,,,37,
2021,45925092,150124540,1,2021-07-13,3,N,23H,40,37,M,10,20,R,,,37,
2021,45806005,149757650,1,2021-03-18,1,N,90Z,25,22,M,10,20,R,,,22,
2021,45806006,149757650,2,2021-03-18,1,N,90Z,23,20,F,10,20,R,,,20,
2021,45925093,150124551,1,2021-07-02,3,N,35A,27,24,F,10,20,R,,,24,
2021,45925094,150124558,1,2021-03-24,1,N,35A,39,36,F,10,20,R,,,36,
2021,45925095,150124563,1,2021-09-20,2,N,35A,56,53,F,10,20,R,,,53,
2021,45925096,150124565,1,2021-03-29,2,N,35A,42,39,M,10,20,R,,,39,
2021,45526061,148734209,1,2022-01-14,2,N,35A,45,42,M,10,20,R,,,42,
2021,45806008,149757652,1,2021-04-05,1,N,90Z,20,17,M,20,20,R,H,,17,
2021,45806009,149757652,2,2021-04-05,1,N,90Z,18,15,M,20,20,R,H,,15,
2021,45806010,149757652,3,2021-04-07,2,N,13B,34,31,F,20,20,R,,,31,
2021,45806011,149757652,4,2021-04-05,1,N,90Z,38,35,F,10,20,R,,,35,
2021,45925118,150124627,1,2021-05-13,2,N,13B,32,29,M,20,20,R,,,29,
