data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2021,179961384,150124441,23H,C,35,,
2021,179961385,150124441,280,C,98,,
2021,179961386,150124442,35A,C,25,,
2021,179961387,150124443,35A,C,35,,
2021,179961388,150124444,13B,C,35,,
2021,179961389,150124445,280,C,14,,
2021,179961390,150124446,280,C,35,,
2021,179961391,150124447,11D,C,35,,
2021,179961392,150124448,35A,C,98,,
2021,179961393,150124449,35A,C,98,,
2021,179961394,150124450,35A,C,25,,
2021,179961395,150124451,13B,C,35,,
2021,179961396,150124452,23H,C,26,,
2021,179961397,150124452,280,C,26,,
2021,179961398,150124453,280,C,35,,
2021,179961399,150124454,280,C,6,,
2021,179961400,150124455,220,C,35,,F
2021,179961401,150124456,280,C,25,,
2021,179961402,150124457,35A,C,98,,
2021,179961403,150124458,35A,C,25,,
2021,179961404,150124459,280,C,35,,
2021,179961405,150124460,35A,C,25,,
2021,179961406,150124460,35B,C,25,,
2021,179961407,150124461,13B,C,25,,
2021,179961408,150124462,13B,C,35,,
2021,179961409,150124463,13B,C,35,,
2021,179961410,150124464,280,C,14,,
2021,179961411,150124465,11D,C,35,,
2021,179961412,150124466,370,C,28,,
2021,179961413,150124467,23H,C,7,,
2021,178783345,149108958,13B,C,35,,
2021,179961414,150124468,23G,C,98,,
2021,179961415,150124468,280,C,35,,
2021,179961416,150124469,35A,C,25,,
2021,179961417,150124469,35B,C,25,,
2021,179961418,150124470,35A,C,25,,
2021,179961419,150124471,13B,C,35,,
2021,179961420,150124472,23H,C,24,,
2021,179961421,150124472,280,C,98,,
2021,179961422,150124473,35A,C,25,,
2021,179961423,150124474,13A,C,26,,
2021,179961424,150124475,13A,C,26,,
2021,179961425,150124476,35A,C,35,,
2021,179961426,150124476,35B,C,35,,
2021,179961427,150124477,11D,C,35,,
2021,179961428,150124478,35A,C,25,,
2021,179961429,150124479,35A,C,25,,
2021,179961430,150124480,35A,C,25,,
2021,179961431,150124481,35A,C,25,,
2021,179961432,150124482,35A,C,98,,
2021,179961433,150124483,280,C,17,,
2021,179961434,150124484,35A,C,25,,
2021,179961435,150124485,35A,C,27,,
2021,179961436,150124486,13B,C,98,,
2021,179961437,150124487,13B,C,35,,
2021,179961438,150124488,13B,C,26,,
2021,179961439,150124489,13B,C,35,,
2021,179961440,150124490,11A,C,35,,
2021,179961441,150124491,11A,C,98,,
2021,179961442,150124492,13B,C,35,,
2021,179961443,150124493,35A,C,25,,
2021,179961444,150124494,35A,C,25,,
2021,179961445,150124495,35A,C,25,,
2021,179961446,150124496,35A,C,98,,
2021,179961447,150124497,35A,C,25,,
2021,180913934,150953113,35A,C,25,,
2021,179961448,150124498,35A,C,98,,
2021,179961449,150124499,35A,C,98,,
2021,179961450,150124500,280,C,17,,
2021,179961451,150124501,280,C,33,,
2021,179961452,150124502,35A,C,33,,
2021,179961453,150124503,23D,C,43,,
2021,179961454,150124503,280,C,43,,
2021,179961455,150124504,23D,C,43,,
2021,179961456,150124504,280,C,43,,
2021,179961457,150124505,23D,C,43,,
2021,179961458,150124505,280,C,43,,
2021,179961459,150124506,23D,C,43,,
2021,179961460,150124506,280,C,33,,
2021,179961461,150124507,13B,C,35,,
2021,179961462,150124508,13B,C,35,,
2021,179961463,150124509,220,C,35,,F
2021,179961464,150124510,35A,C,98,,
2021,179961465,150124511,35A,C,25,,
2021,179961466,150124512,35A,C,25,,
2021,179961467,150124513,35A,C,35,,
2021,179961468,150124514,13B,C,35,,
2021,179961469,150124515,35A,C,98,,
2021,179961470,150124516,23C,C,24,,
2021,179961471,150124516,280,C,24,,
2021,179961472,150124517,35A,C,25,,
2021,179961473,150124518,35A,C,25,,
2021,179961474,150124519,35A,C,25,,
2021,179961475,150124519,35B,C,25,,
2021,179961476,150124520,35A,C,25,,
2021,179961477,150124521,370,C,35,,
2021,179961478,150124522,23C,C,17,,
2021,179961479,150124522,280,C,17,,
2021,179961480,150124523,280,C,35,,
2021,179961481,150124524,23H,C,17,,
2021,179961482,150124524,280,C,17,,
2021,179961483,150124525,35A,C,25,,
2021,179535210,149757648,13A,C,35,,
2021,179961484,150124526,13B,C,25,,
2021,179961485,150124527,35A,C,25,,
2021,179961486,150124527,35B,C,30,,
2021,179961487,150124528,280,C,35,,
2021,179961488,150124529,23C,C,14,,
2021,179961489,150124529,280,C,14,,
2021,179961490,150124530,35A,C,25,,
2021,179961491,150124531,35A,C,25,,
2021,179961492,150124532,35A,C,25,,
2021,179961493,150124533,35A,C,25,,
2021,179961494,150124534,23F,C,10,,
2021,179961495,150124534,240,C,25,,
2021,179961496,150124535,280,C,44,,
2021,179961497,150124536,35A,C,25,,
2021,179535211,149757649,13B,C,35,,
2021,179961498,150124537,35A,C,25,,
2021,179961499,150124538,13B,C,26,,
2021,179961500,150124539,35A,C,25,,
2021,179961501,150124540,23C,C,17,,
2021,179961502,150124540,280,C,44,,
2021,179961503,150124541,35A,C,21,,
2021,179961504,150124542,13B,C,35,,
2021,179961505,150124543,35A,C,25,,
2021,179961506,150124544,35A,C,98,,
2021,179961507,150124545,35A,C,25,,
2021,179535212,149757650,13B,C,35,,
2021,179961508,150124546,35A,C,25,,
2021,179961509,150124547,35A,C,25,,
2021,179961510,150124548,35A,C,25,,
2021,179961511,150124549,35A,C,25,,
2021,179961512,150124550,35A,C,25,,
2021,179961513,150124551,35A,C,25,,
2021,179961514,150124551,35B,C,25,,
2021,179961515,150124552,11D,C,35,,
2021,179961516,150124553,35A,C,25,,
2021,179961517,150124554,35A,C,25,,
2021,179961518,150124555,35A,C,25,,
2021,179961519,150124556,35A,C,25,,
2021,179961520,150124557,35A,C,25,,
2021,179961521,150124558,35A,C,25,,
2021,179961522,150124559,280,C,33,,
2021,179961523,150124560,35A,C,25,,
2021,179961524,150124561,35A,C,25,,
2021,179961525,150124562,13B,C,35,,
2021,179961526,150124563,35A,C,25,,
2021,179961527,150124564,35A,C,98,,
2021,179961528,150124565,35A,C,14,,
2021,179961529,150124566,280,C,25,,
2021,178359434,148734209,35A,C,14,,
2021,179535214,149757652,13B,C,35,,
2021,179961530,150124567,13B,C,35,,
2021,179961531,150124568,35A,C,25,,
2021,179961532,150124568,35B,C,25,,
2021,179961533,150124569,35A,C,25,,
2021,179961540,150124575,35A,C,25,,
2021,179961545,150124580,13B,C,43,,
2021,179961551,150124586,35A,C,98,,
2021,179961583,150124612,35A,C,26,,
2021,179961588,150124617,280,C,26,,
2021,179961591,150124620,13B,C,35,,
