data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,149333203,13,1400,2021-04-22,
2021,149333204,13,1400,,
2021,149333205,10,,,
2021,149333206,10,,,
2021,149333209,10,,,
2021,149333210,10,,,
2021,149333211,10,,,
2021,149333213,61,350,2021-04-22,
2021,149333214,61,350,,
2021,149333219,10,,,
2021,149333220,10,,,
2021,149333222,10,,,
2021,149333222,11,1,,
2021,149333222,20,1865,,
2021,149333224,9,0,,
2021,149333226,38,300,2021-06-06,
2021,149333227,38,300,,
2021,149333228,10,,,
2021,149333228,11,1,,
2021,149333228,20,246,,
2021,149333229,10,,,
2021,149333231,19,384,,
2021,149333232,10,,,
2021,149333233,10,,,
2021,149333233,11,1,,
2021,149333234,10,,,
2021,149333235,10,,,
2021,149333236,10,,,
2021,149333237,10,,,
2021,149333238,10,,,
2021,149333240,10,,,
2021,149333241,10,,,
2021,149333242,10,,,
2021,149333243,10,,,
2021,149333244,10,,,
2021,149333245,10,,,
2021,149333246,10,,,
2021,150042855,10,,,
2021,149333247,10,,,
2021,149333248,10,,,
2021,149333251,10,,,
2021,149333253,20,100,,
2021,149333255,20,100,,
2021,149333257,20,100,,
2021,149333259,20,100,,
2021,149333261,10,,,
2021,149333262,10,,,
2021,149333263,10,,,
2021,149333264,10,,,
2021,149333265,10,,,
2021,149333267,8,60,2021-04-28,
2021,149333268,8,60,,
2021,149333269,10,,,
2021,149333270,10,,,
2021,149333271,10,,,
2021,149333271,11,1,,
2021,149333272,10,,,
2021,149333274,19,118,2021-03-01,
2021,149333275,19,118,,
2021,149333278,9,0,2021-03-02,
2021,149333279,9,0,,
2021,149333280,10,,,
2021,149333281,10,,,
2021,149333281,11,1,,
2021,149333284,2,65,2021-04-27,
2021,149333285,2,65,,
2021,149333286,10,,,
2021,149333287,10,,,
2021,149333288,10,,,
2021,149333289,10,,,
2021,149333290,3,3000,2021-08-23,
2021,149333291,3,3001,,
2021,149333293,10,,,
2021,149333294,10,,,
2021,149333295,10,,,
2021,149333297,36,600,2021-07-19,
2021,149333298,36,600,,
2021,149333299,10,,,
2021,149333300,10,,,
2021,149333301,10,,,
2021,149333302,10,,,
2021,149333303,10,,,
2021,149333304,10,,,
2021,149333305,10,,,
2021,149333306,10,,,
2021,149333307,10,,,
2021,149333308,10,,,
2021,149333308,11,1,,
2021,149333308,20,5,,
2021,149333309,10,,,
2021,149333310,10,,,
2021,149333311,10,,,
2021,149333312,10,,,
2021,149333313,10,,,
2021,149333314,10,,,
2021,149333316,10,,,
2021,149333317,10,,,
2021,149333318,10,,,
2021,149333319,10,,,
2021,149333320,10,,,
2021,148124268,10,,,
2021,149333322,10,,,
2021,149333322,11,1,,
2021,149333323,10,,,
2021,149333329,10,,,
2021,149333337,10,,,
2021,149333358,10,,,
2021,149333400,10,,,
2021,149333411,10,,,
2021,149333416,10,,,
2021,149333442,3,4500,,
2021,149333449,10,,,
2021,149333475,10,,,
2021,149333485,57,25,2021-12-13,
2021,149333486,57,25,,
2021,148124290,63,4000,2021-11-20,
2021,148124291,63,4000,,
2021,149333494,10,,,
