data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,16,149333205,1.000,1,12792512
2021,12,149333206,7.000,1,12792513
2021,5,149333209,1621.000,1,12792514
2021,5,149333210,184.000,1,12792515
2021,5,149333211,7.000,1,12792516
2021,5,149333219,3.600,1,12792517
2021,5,149333220,28.000,1,12792518
2021,5,149333222,92.000,1,12792519
2021,12,149333228,20.100,1,12792520
2021,1,149333229,3.600,1,12792521
2021,5,149333232,4.300,1,12792522
2021,7,149333233,1.000,11,12792523
2021,5,149333234,15.000,1,12792524
2021,15,149333235,164.500,1,12792525
2021,2,149333236,1.300,1,12792526
2021,5,149333237,16.000,1,12792527
2021,16,149333238,7.000,1,12792528
2021,5,149333240,1.000,1,12792529
2021,16,149333241,9.000,1,12792530
2021,2,149333242,1.000,1,12792531
2021,5,149333243,1.000,1,12792532
2021,13,149333244,38.000,9,12792533
2021,8,149333245,4.000,9,12792534
2021,5,149333246,14.000,1,12792535
2021,4,150042855,1.000,1,12891495
2021,5,149333247,80.000,1,12792536
2021,5,149333248,3.000,1,12792537
2021,8,149333251,57.000,9,12792538
2021,5,149333261,8.000,1,12792539
2021,5,149333262,12.000,1,12792540
2021,5,149333263,89.801,1,12792541
2021,11,149333264,401.000,1,12792542
2021,1,149333265,1.000,1,12792543
2021,5,149333269,1.000,1,12792544
2021,5,149333270,450.000,1,12792545
2021,15,149333271,3.000,9,12792546
2021,4,149333272,36.000,1,12792547
2021,7,149333280,1.000,1,12792548
2021,16,149333281,31.000,9,12792549
2021,5,149333286,29.500,1,12792550
2021,5,149333287,31.500,1,12792551
2021,5,149333288,3.000,1,12792552
2021,5,149333289,1.000,1,12792553
2021,1,149333293,33.900,1,12792554
2021,5,149333294,13.500,1,12792555
2021,5,149333295,1.200,1,12792556
2021,15,149333299,32.000,1,12792557
2021,5,149333300,1.000,1,12792558
2021,5,149333301,26.000,1,12792559
2021,5,149333302,2.500,1,12792560
2021,5,149333303,276.000,1,12792561
2021,5,149333304,8.000,1,12792562
2021,12,149333305,1.000,1,12792563
2021,13,149333306,18.000,9,12792564
2021,5,149333307,3.000,1,12792565
2021,7,149333308,0.001,1,12792566
2021,5,149333309,2.000,1,12792567
2021,16,149333310,43.000,9,12792568
2021,5,149333311,117.800,1,12792569
2021,12,149333312,6.300,1,12792570
2021,8,149333313,1.000,9,12792571
2021,12,149333314,3.500,1,12792572
2021,5,149333316,20.000,1,12792573
2021,5,149333317,37.000,1,12792574
2021,16,149333318,2.000,1,12792575
2021,4,149333319,0.400,1,12792576
2021,16,149333320,1.500,1,12792577
2021,12,148124268,3.700,1,12624953
2021,12,149333322,0.020,1,12792578
2021,5,149333323,2.000,1,12792579
2021,5,149333329,11.500,1,12792581
2021,4,149333337,1.000,1,12792583
2021,12,149333358,0.250,1,12792586
2021,2,149333400,1.000,1,12792594
2021,5,149333411,44.000,1,12792599
2021,5,149333416,13.000,1,12792600
2021,4,149333449,0.030,1,12792607
2021,6,149333475,1.000,1,12792613
2021,5,149333494,9.000,1,12792616
2021,2,149333530,12.000,1,12792623
2021,15,149333543,19.500,9,12792628
2021,7,149333551,3.000,9,12792629
2021,5,149333565,268.000,1,12792631
2021,16,149333567,1.000,1,12792633
2021,7,149333580,1.000,1,12792635
2021,2,149333584,0.200,1,12792637
2021,8,149333591,2.000,1,12792640
2021,16,149333615,1.000,1,12792648
2021,16,149333625,1.000,1,12792652
2021,14,149333636,38.000,9,12792654
2021,5,149333643,6.500,1,12792656
2021,4,149333647,2.000,1,12792658
2021,12,149333656,4.500,1,12792661
2021,12,149333693,1.000,1,12792671
2021,4,149333700,1.000,1,12792674
2021,5,149333703,17.000,1,12792675
2021,7,149333704,2.000,9,12792676
2021,5,149333706,50.000,1,12792677
2021,12,149333710,1.000,1,12792678
2021,15,149333711,1.000,9,12792679
2021,15,149333712,1.000,9,12792680
2021,15,149333713,25.000,1,12792681
2021,5,149333715,1.000,1,12792682
2021,7,149333716,1.000,11,12792683
2021,5,149333719,28.000,1,12792684
2021,5,149333724,14.000,1,12792685
2021,5,149333725,1.900,1,12792686
2021,5,149333726,2.000,1,12792687
2021,5,149333730,12.000,1,12792688
2021,4,149333731,0.300,1,12792689
2021,5,149333735,11.000,1,12792690
2021,16,149333737,15.100,1,12792691
2021,15,149333738,23.600,1,12792692
2021,1,149333742,82.600,1,12792693
2021,5,149333744,39.000,1,12792695
2021,4,149333745,1.000,1,12792696
2021,5,149333746,7.000,1,12792697
2021,11,149333753,3.000,9,12792698
2021,2,149333754,0.500,1,12792699
2021,5,149333757,12.000,1,12792700
2021,13,149333758,412.000,9,12792701
2021,16,149333759,1.000,1,12792702
2021,12,149333760,1.000,1,12792703
2021,12,149333761,1.000,1,12792704
2021,17,149333765,1.000,9,12792705
2021,4,149333766,1.000,1,12792706
2021,4,149333767,1.000,1,12792707
2021,16,149333768,2.000,1,12792708
2021,17,149333769,1.000,1,12792709
2021,5,149333774,8.700,1,12792710
2021,5,149333775,51.000,1,12792711
2021,5,149333776,11.000,1,12792712
2021,4,149333779,137.000,1,12792713
2021,15,149333780,1.300,1,12792714
2021,5,149333785,151.500,1,12792715
2021,5,149333786,3.000,1,12792716
2021,1,149333788,0.001,1,12792717
2021,12,149333789,1.000,1,12792718
2021,16,149333790,1.000,1,12792719
2021,5,149333799,10.500,1,12792720
2021,1,149333809,1.000,1,12792721
2021,12,148124878,1.000,1,12625147
2021,2,149333823,2.200,1,12792722
2021,16,149333830,1.000,11,12792723
2021,15,149333831,11.000,9,12792724
2021,5,149333832,1.000,1,12792725
2021,8,148124923,32.000,1,12625160
2021,5,149333839,19.000,1,12792726
2021,8,149333840,2.000,9,12792727
2021,5,149333847,1.000,1,12792728
2021,8,149333848,1.700,1,12792729
2021,15,149333852,1.000,9,12792730
2021,15,149333853,59.000,9,12792731
2021,15,149333854,16.000,9,12792732
2021,16,149333858,7.000,9,12792733
2021,16,149333859,108.500,9,12792734
2021,5,149333860,25.000,1,12792735
2021,12,149333863,1.000,1,12792736
2021,12,149333865,1.000,1,12792737
2021,12,149333867,0.500,1,12792739
2021,15,149333868,45.000,1,12792740
2021,12,148125076,1.000,1,12625205
2021,12,149333869,1.000,1,12792741
2021,5,149333876,49.000,1,12792742
2021,5,149333877,47.000,1,12792743
2021,5,149333881,10.000,1,12792744
2021,12,149333882,4.300,1,12792745
2021,15,149333884,20.000,9,12792746
2021,5,148125154,1.000,1,12625228
2021,5,148125157,10.000,1,12625229
2021,15,149333885,9.000,9,12792747
2021,2,148125178,65.200,1,12625237
2021,4,148125219,212.000,1,12625245
2021,4,148125228,1.000,1,12625249
2021,12,148125233,8.500,9,12625251
2021,12,148125243,0.220,1,12625256
2021,7,148125244,0.300,1,12625257
2021,5,149333899,36.700,1,12792755
